Sr No,Date,Startup Name,Industry Vertical,SubVertical,City Location,Investors Name,Investment Type,Amount in USD(K),Amount in INR(K),Remarks,City Tier
1727,2015-07-03,CultureAlley,Language Learning App,Unknown,Jaipur,Tiger Global,Private Equity,6500.0,572000.0,Series A,Tier 2/3 India
1728,2015-07-03,Gingercrush,Custom Merchandize Platform,Unknown,Ahmedabad,"Gokul Jaykrisha, Brad Capital",Seed Funding,1000.0,88000.0,No Remark,Tier 2/3 India
1729,2015-07-04,Stitchwood,Custom Furniture Marketplace,Unknown,Mumbai,"Powai Lake Vetures, Ajeet Khuraa & others",Seed Funding,395.0,34760.0,No Remark,Tier 1 India
1730,2015-07-06,Paper Boat,Ethnic Beverages Manufacturer,Unknown,Gurgaon,"Sofia, Hillhouse Capital",Private Equity,30000.0,2640000.0,Series B,Tier 1 India
1731,2015-07-07,Wudstay,Budget Accommodation Aggregator,Unknown,Gurgaon,"Magroves Capital Parters, Vikas Saxea",Private Equity,3000.0,264000.0,Series A,Tier 1 India
1732,2015-07-07,Liases Foras,Real Estate,Unknown,New Delhi,DMG iformatio Asia Pacific,Private Equity,5000.0,440000.0,Series A,Tier 1 India
1733,2015-07-08,Saavn,Music Streaming App,Unknown,Mumbai,"Tiger Global Maagemet, Bertelsma Idia, Steadview Capital, Liberty Media, Mousse Parters, Quilvest",Private Equity,100000.0,8800000.0,Series C,Tier 1 India
1734,2015-07-08,Flytxt,Big Data & Analytics Platform,Unknown,Mumbai,"Surise Capital GmBH, Big Data Ivestmets B.V",Private Equity,11000.0,968000.0,Series A,Tier 1 India
1735,2015-07-08,Axtria,Big Data & Analytics Platform,Unknown,India,"Helio Veture Parters,Amarpreet Sawhey, Deshpade Foudatio, Fred Khosravi, Richard S. Braddock",Private Equity,30000.0,2640000.0,Series C,Other
1736,2015-07-08,33Coupons,Coupon Aggregator Platform,Unknown,Kanpur,Not Disclosed,Seed Funding,20.0,1760.0,No Remark,Other
1737,2015-07-08,Hopping Chef,Food Tech,Unknown,Mumbai,Mirah Hospitality,Seed Funding,470.0,41360.0,Strategic Investment,Tier 1 India
1738,2015-07-08,Collectabillia,Celebrity Fashion Brand,Unknown,Bengaluru,Accel Parters,Private Equity,7500.0,660000.0,Series B,Tier 1 India
1739,2015-07-08,Lendingkart,Online Finance Lending Platform,Unknown,Ahmedabad,"Saama Capital, Mayfield, Ashvi Chadha, Shailesh Mehta",Private Equity,10000.0,880000.0,Series A,Tier 2/3 India
1740,2015-07-08,Lybrate,Health & Wellness,Unknown,New Delhi,"Tiger Global Maagemet, Rata Tata, Nexus Veture Parters",Private Equity,10200.0,897600.0,Series A,Tier 1 India
1741,2015-07-08,Zoomcar,Self-Driven Vehicle Rental,Unknown,Bengaluru,"Sequoia Capital, Empire Agels, NGP",Private Equity,11000.0,968000.0,Series B,Tier 1 India
1742,2015-07-09,\\\\xc2\\\\xa0News in shorts,News Aggregator Mobile App,Unknown,Noida,Tiger Global,Private Equity,2020000.0,177760000.0,\\\\xc2\\\\xa0Series B,Tier 1 India
1743,2015-07-09,\\\\xc2\\\\xa0Bluestone,Online Jewellery Store,Unknown,Bengaluru,"IvyCap Vetures, Accel Parters, Dragoeer Ivestmet Group",Private Equity,2016200.0,177425600.0,No Remark,Tier 1 India
1744,2015-07-09,\\\\xc2\\\\xa0Shopsity,Fashion Info Aggregator App,Unknown,Gurgaon,"Sadeep Aggarwal, Teruhide Sato",Seed Funding,0.02,1.76,No Remark,Tier 1 India
1745,2015-07-09,\\\\xc2\\\\xa0Notesgen,E-Commerce,Unknown,New Delhi,"Rajeev Saraf, Arvid Jha, R. Satya Narayaa",Seed Funding,0.02,1.76,No Remark,Tier 1 India
1746,2015-07-10,\\\\xc2\\\\xa0Infinity Assurance,Warranty Programs Service Administration,Unknown,New Delhi,Idia Agel Network,Seed Funding,20600.0,1812800.0,No Remark,Tier 1 India
1747,2015-07-10,\\\\xc2\\\\xa0Footprints Education,Pre-School Chain,Unknown,Gurgaon,"LetsVeture, Kumar Basal, Kshitij Jai",Seed Funding,20685.0,1820280.0,No Remark,Tier 1 India
1748,2015-07-10,\\\\xc2\\\\xa0Loylty Rewards,Premium Loyalty Rewards Point Management,Unknown,Mumbai,IdiaIdeas.com,Private Equity,2019350.0,177702800.0,\\\\xc2\\\\xa0Late Stage,Tier 1 India
1749,2015-07-13,\\\\xc2\\\\xa0Ameyo,Contact Center Software Platform,Unknown,Gurgaon,Forum Syergies PE Fud,Private Equity,205000.0,18040000.0,\\\\xc2\\\\xa0Series A,Tier 1 India
1750,2015-07-13,\\\\xc2\\\\xa0Mamagoto,Casual Dining Restaurant Chain,Unknown,New Delhi,Goldma Sachs,Private Equity,2010000.0,176880000.0,\\\\xc2\\\\xa0Series A,Tier 1 India
1751,2015-07-13,\\\\xc2\\\\xa0Satvacart,Grocery Delivery,Unknown,Gurgaon,Palaash Vetures,Seed Funding,0.02,1.76,No Remark,Tier 1 India
1752,2015-07-14,MySmartPrice,Online Comparison Engine,Unknown,Hyderabad,"Accel Parters, Helio Veture Parters",Private Equity,10000.0,880000.0,Series B,Tier 1 India
1753,2015-07-14,Zenify,Residential Rental Management Platform,Unknown,Bengaluru,Atul Jala,Seed Funding,0.02,1.76,No Remark,Tier 1 India
1754,2015-07-14,Boxmyspace,Physical Storage Warehouses,Unknown,Mumbai,"Ritesh Veera, Sigapore Agel Network, Orios Veture Parters,",Seed Funding,300.0,26400.0,No Remark,Tier 1 India
1755,2015-07-14,HackerRank,Tech Recruitment Platform,Unknown,Bengaluru,HR Techology fud,Private Equity,7500.0,660000.0,Series C,Tier 1 India
1756,2015-07-14,WickedRide,Bike Rental Platform,Unknown,Bengaluru,Udisclosed,Seed Funding,790.0,69520.0,No Remark,Tier 1 India
1757,2015-07-14,WoWexpress,Logistics,Unknown,Mumbai,Tamarid Family Private Trust,Seed Funding,500.0,44000.0,No Remark,Tier 1 India
1758,2015-07-15,Oyo Rooms,Budget Hotel Accommodation,Unknown,Gurgaon,"Softbak, Sequoia Capital",Private Equity,100000.0,8800000.0,Series B,Tier 1 India
1759,2015-07-15,Mobikon,Restaurant Customer Engagement Platform,Unknown,Pune,Jugle Vetures,Private Equity,2300.0,202400.0,Series B,Tier 1 India
1760,2015-07-15,Roadrunnr,Logistics,Unknown,Bengaluru,"Sequoia Capital, Nexus Veture Parters, Blume Vetures",Private Equity,11000.0,968000.0,Series A,Tier 1 India
1761,2015-07-16,Ketto,Crowd Funding Platform,Unknown,Mumbai,"Pradyuma Dalmia, Sudhir Rao & Others",Seed Funding,700.0,61600.0,No Remark,Tier 1 India
1762,2015-07-17,QuikWallet,F&B Sector Mobile Payment Platform,Unknown,Mumbai,Sow Leopard Techology Vetures,Private Equity,1600.0,140800.0,Follow on Funding,Tier 1 India
1763,2015-07-17,Omnikart,Industrial Supplies B2B Ecommerce,Unknown,Mumbai,"Sumit Gadhi, Maish Gadhi",Seed Funding,100.0,8800.0,No Remark,Tier 1 India
1764,2015-07-20,Zo Rooms,Online Budget Hotel Chain,Unknown,New Delhi,"Tiger Global, Orios Veture Parters.",Private Equity,15000.0,1320000.0,No confirmation,Tier 1 India
1765,2015-07-20,Innoviti,Payment Solutions Platform,Unknown,Bengaluru,"Catamara Vetures, New Idia Ivestmet Corporatio",Private Equity,4850.0,426800.0,Series A,Tier 1 India
1766,2015-07-21,Joy by nature,Organic Food Ecommerce,Unknown,New Delhi,"Mumbai Agels, Vriddhi Fud, Others",Private Equity,1000.0,88000.0,Series A,Tier 1 India
1767,2015-07-22,Iqlect,Big Data & Analytics Platform,Unknown,Bengaluru,Exfiity Veture Parters,Private Equity,2000.0,176000.0,Series A,Tier 1 India
1768,2015-07-22,deGustibus,Fine Dining Restaurant Chain,Unknown,Mumbai,Idia Value Fud Advisors,Private Equity,30000.0,2640000.0,Late Stage,Tier 1 India
1769,2015-07-23,Nestaway,Luxury Rental Homes,Unknown,Bengaluru,"Flipkart, Tiger Global",Private Equity,12750.0,1122000.0,Series A,Tier 1 India
