Sr No,Date,Startup Name,Industry Vertical,SubVertical,City Location,Investors Name,Investment Type,Amount in USD(K),Amount in INR(K),Remarks,City Tier,No Of Investors,Success
681,12-04-2017,Clovia,E-Commerce,Online lingerie & Sleepwear etailer,New Delhi,"Ivycap Vetures Advisors, Sigularity Vetures ad Ravi Dhariwal",Private Equity,4000,352000,No Remark,Tier 1 India,2,1
682,12-04-2017,Emiza,Logistics,Third Party Logistics provider,Mumbai,"Mayfield, Nishat Rao, Dileep Nath",Private Equity,4500,396000,No Remark,Tier 1 India,3,1
683,12-04-2017,Hackerearth,Consumer Internet,Online Skill Assessment Platform,Bengaluru,"DHI Group Ic, Prime Veture Parters, Beeext, Beeos, Digital Garage, BizReach",Private Equity,4500,396000,No Remark,Tier 1 India,6,1
684,12-04-2017,Squadrun,Technology,Software-As-a-Service Platform,Noida,"Blume Vetures, Cotraria Capital, 91sprigboard, Emerget Vetures, Abstract Vetures, Athill Vetures, Axilor Vetures",Private Equity,2100,184800,No Remark,Tier 1 India,7,1
685,13-04-2017,Weareholidays,Consumer Internet,Travel Packages & Planner marketplace,Gurgaon,"Urrshila Kerkar,",Private Equity,7700,677600,No Remark,Tier 1 India,1,1
686,14-04-2017,Ola Cabs,Consumer Internet,Cab Aggregator App,Bengaluru,SIMI Pacific Pte,Private Equity,260000,22880000,No Remark,Tier 1 India,1,1
687,15-04-2017,Myly,Consumer Internet,Mobile App for Schools,Jaipur,mall Idustries Developmet Bak of Idia (SIDBI),Seed Funding,310,27280,No Remark,Tier 2/3 India,1,0
688,17-04-2017,Credihealth,Consumer Internet,Online Medical Assistance platform,Gurgaon,"Tolaram Ic, Moutai Pie Capital",Private Equity,1500,132000,No Remark,Tier 1 India,2,1
689,17-04-2017,Snackible,Food & Beverages,Healthy Snacks manufacturer,Mumbai,"Nibhrat Shah, Aadbir Sigh, Airudh Sheth, Pratik Sighi, Vikram Mehta, Murali Nair",Seed Funding,175,15400,No Remark,Tier 1 India,6,0
690,17-04-2017,Be U Salons,Consumer Internet,Online Salon discovery & Booking Services,New Delhi,"Gaurav Kachru, Sudeep Sigh Sahi, Jati Aeja, Aru Malhotra",Seed Funding,620,54560,No Remark,Tier 1 India,4,0
691,17-04-2017,Lendingkart,Consumer Internet,Lending platform for small businesses,Ahmedabad,Aicut Capital,Private Equity,4650,409200,No Remark,Tier 2/3 India,1,1
